title,url,img_ref,star_count,review_count,price,is_free_shipping,shipping_price,limited_stock,additional_buy_options
"Samsung UN75RU8000FXZA Flat 75-Inch 4K 8 Series Ultra HD Smart TV with HDR and Alexa Compatibility (2019 Model), Gray",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_2?ie=UTF8&adId=A06799713RFWWDX10UZ4R&url=%2FSamsung-UN75RU8000FXZA-Flat-UHD-Smart%2Fdp%2FB07NC9Q1VJ%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dhd%2Btv%26qid%3D1585364505%26sr%3D8-38-spons%26psc%3D1%26smid%3DA2K7RN1DSQCI9O&qualifier=1585364504&id=7468430639703371&widgetName=sp_btf,https://m.media-amazon.com/images/I/71ayXpGfO8L._AC_UY654_QL65_ML3_.jpg,4.5,1104,,True,,,False
TOSHIBA 43LF711U20 43-inch 4K Ultra HD Smart LED TV HDR - Fire TV Edition,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0677249DQMP719W3QDS&url=%2FTOSHIBA-43LF711U20-43-inch-Ultra-Smart%2Fdp%2FB07SB1BMM9%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dhd%2Btv%26qid%3D1585364514%26sr%3D8-33-spons%26psc%3D1&qualifier=1585364514&id=3042991097829492&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/41erwwQzAnL._AC_UY500_QL65_ML3_.jpg,4.4,18734,$249.99,True,,,False
"Sony X800H 75 Inch TV: 4K Ultra HD Smart LED TV with HDR and Alexa Compatibility - 2020 Model, XBR75X800H",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A0810882WTJAK5UIIVBW&url=%2FSony-X800H-Inch-Compatibility-XBR75X800H%2Fdp%2FB083R354VH%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dhd%2Btv%26qid%3D1585364514%26sr%3D8-34-spons%26psc%3D1&qualifier=1585364514&id=3042991097829492&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/71UjszdEcgL._AC_UY654_QL65_ML3_.jpg,4.5,26,"$1,498.00",True,,4,False
Sony XBR75Z9F 75-Inch 4K Ultra HD Smart BRAVIA LED TV,https://amazon.com/Sony-XBR75Z9F-75-Inch-Ultra-BRAVIA/dp/B07GC3BNXZ/ref=sr_1_35?dchild=1&keywords=hd+tv&qid=1585364514&sr=8-35,https://m.media-amazon.com/images/I/81jDAXbBuQL._AC_UY654_QL65_ML3_.jpg,4.4,20,"$2,798.00",True,,2,True
"Vizio D-Series 24"" HD (720P) Smart LED TV, Smartcast + Chromecast Included - D24H-G9 (Renewed)",https://amazon.com/Vizio-Smart-Smartcast-Chromecast-Included/dp/B07Y5Q69JS/ref=sr_1_36?dchild=1&keywords=hd+tv&qid=1585364514&sr=8-36,https://m.media-amazon.com/images/I/51dWnINQ0FL._AC_UY500_QL65_ML3_.jpg,4.5,21,$119.99,True,,,False
Westinghouse 40 inch Roku Full HD LED Smart TV,https://amazon.com/Westinghouse-inch-Roku-Full-Smart/dp/B07S8DHL77/ref=sr_1_37?dchild=1&keywords=hd+tv&qid=1585364514&sr=8-37,https://m.media-amazon.com/images/I/711b2lQZUrL._AC_UY654_QL65_ML3_.jpg,4.1,40,$224.19,False,$15.37,1,True
The Outsider - Season 1,https://amazon.com/Must-Cant/dp/B07Z8TLMS3/ref=sr_1_38?dchild=1&keywords=hd+tv&qid=1585364514&sr=8-38,https://m.media-amazon.com/images/I/91gNWlCtnmL._AC_UY654_QL65_ML3_.jpg,4.1,206,$2.99,False,,,False
Westinghouse 32 inch 720p 60Hz LED HD TV,https://amazon.com/Westinghouse-inch-720p-60Hz-LED/dp/B07SB94SNG/ref=sr_1_39?dchild=1&keywords=hd+tv&qid=1585364514&sr=8-39,https://m.media-amazon.com/images/I/81gzLE4a7EL._AC_UY654_QL65_ML3_.jpg,4.1,54,,False,,,True
[Upgraded 2020] Amplified TV Antenna Indoor/Outdoor -120Miles Ultra Digital HDTV Antenna with Amplifier TV Free Signals High Reception Signals Booster for All Old TVs 4K/1080P/VHF/UHF Channels 16ft,https://amazon.com/Upgraded-Amplified-120Miles-Amplifier-Reception/dp/B085M8WL1X/ref=sr_1_40?dchild=1&keywords=hd+tv&qid=1585364514&sr=8-40,https://m.media-amazon.com/images/I/71T5jO3k+CL._AC_UY654_QL65_ML3_.jpg,4.3,43,$19.99,True,,,True
Sony XBR-X850G 85-Inch 4K Ultra HD LED TV (2019 Model) - XBR85X850G,https://amazon.com/Sony-XBR-X850G-85-Inch-Ultra-Model/dp/B07P11NJH2/ref=sr_1_41?dchild=1&keywords=hd+tv&qid=1585364514&sr=8-41,https://m.media-amazon.com/images/I/81hDMOE5sSL._AC_UY654_QL65_ML3_.jpg,4.3,76,"$2,469.99",False,,1,True
